pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-14,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
60,Yukon,Yukon,2020-03-14,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-14,0,0,0.0,0,76.0,,,1695.0,0,0.0,0.0,0.0,0.0,,42.0,,,,0.0,,,,,,,,,,,,
62,Nunavut,Nunavut,2020-03-14,0,0,0.0,0,6.0,,,155.0,0,0.0,0.0,0.0,0.0,,5.0,,,,0.0,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2020-03-14,2,0,0.0,2,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,2.0,,,,,,,,,,,,,
1,Canada,Canada,2020-03-14,193,6,2.0,199,22409.0,,,596.0,20,11.17,0.53,0.01,0.0,1.01,7224.0,,98.99,197.0,0.52,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-15,73,0,1.0,73,7033.0,,,1387.0,9,14.06,1.44,0.02,0.0,1.37,0.0,,98.63,72.0,1.42,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-15,39,0,0.0,39,5247.0,,,1200.0,10,34.48,0.89,0.0,0.0,0.0,0.0,,100.0,39.0,0.89,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-03-15,0,2,0.0,2,349.0,,,297.0,0,0.0,0.17,0.0,0.0,0.0,0.0,,100.0,2.0,0.17,,,,,,,,,,,,
46,Manitoba,Manitoba,2020-03-15,4,0,0.0,4,837.0,,,611.0,0,0.0,0.29,0.0,0.0,0.0,0.0,,100.0,4.0,0.29,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-15,103,0,1.0,103,8461.0,,,581.0,24,30.38,0.71,0.01,0.0,0.97,1815.0,,99.03,102.0,0.7,,,,,,,,,,,,
24,Quebec,Québec,2020-03-15,24,0,0.0,24,2337.0,,,275.0,7,41.18,0.28,0.0,0.0,0.0,753.0,,100.0,24.0,0.28,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-15,0,1,0.0,1,62.0,,,119.0,1,0.0,0.19,0.0,0.0,0.0,0.0,,100.0,1.0,0.19,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-03-15,1,1,0.0,2,82.0,,,106.0,0,0.0,0.26,0.0,0.0,0.0,0.0,,100.0,2.0,0.26,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-03-15,0,0,0.0,0,481.0,,,495.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-15,1,0,0.0,1,6.0,,,38.0,1,0.0,0.64,0.0,0.0,0.0,0.0,,100.0,1.0,0.64,,,,,,,,,,,,
60,Yukon,Yukon,2020-03-15,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-15,0,0,0.0,0,76.0,,,1695.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
62,Nunavut,Nunavut,2020-03-15,0,0,0.0,0,6.0,,,155.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2020-03-15,4,0,0.0,4,29.0,,,,2,100.0,,,0.0,0.0,0.0,,100.0,4.0,,,,,,,,,,,,,
1,Canada,Canada,2020-03-15,249,4,2.0,253,24977.0,,,664.0,54,27.14,0.67,0.01,0.0,0.79,2568.0,,99.21,251.0,0.67,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-16,73,0,4.0,73,9926.0,,,1957.0,0,0.0,1.44,0.08,3.0,5.48,2893.0,,94.52,69.0,1.36,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-16,56,0,0.0,56,10238.0,,,2342.0,17,43.59,1.28,0.0,0.0,0.0,4991.0,,100.0,56.0,1.28,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-03-16,1,5,0.0,6,881.0,,,750.0,4,200.0,0.51,0.0,0.0,0.0,532.0,,100.0,6.0,0.51,,,,,,,,,,,,
46,Manitoba,Manitoba,2020-03-16,4,3,0.0,7,1848.0,,,1349.0,3,75.0,0.51,0.0,0.0,0.0,1011.0,,100.0,7.0,0.51,,,,,,,,,,,,
